alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,,,,,
16.5,2.3876,0.01782,0.01385,-0.0743,0.0096,0.666,16.5,2.4434,0.01925,0.01528,-0.0854,0.0095,0.6495,16,2.3101,0.01529,0.01069,-0.1227,0.0097,0.6492,16,2.2496,0.01454,0.01,-0.1088,0.0103,0.6646,,,,,
17,2.4219,0.01898,0.01508,-0.0682,0.0096,0.67,17,2.4765,0.02054,0.01663,-0.079,0.0095,0.6504,16.5,2.3396,0.01593,0.01135,-0.1175,0.0097,0.6503,16.5,2.2872,0.01508,0.01055,-0.1054,0.0098,0.6691,,,,,
17.5,2.4552,0.02031,0.01648,-0.0622,0.0096,0.6779,17.5,2.5083,0.02199,0.01815,-0.0727,0.0095,0.6546,17,2.3681,0.01667,0.01212,-0.1124,0.0096,0.6541,17,2.3234,0.01567,0.01115,-0.1017,0.0098,0.6764,,,,,
18,2.4858,0.02185,0.01808,-0.0562,0.0096,0.6795,18,2.5371,0.02367,0.01991,-0.0662,0.0094,0.6581,17.5,2.3978,0.01748,0.01295,-0.1077,0.0096,0.6581,17.5,2.3502,0.01636,0.01187,-0.0963,0.0097,0.6793,,,,,
18.5,2.5143,0.02362,0.01993,-0.0502,0.0095,0.6801,18.5,2.5633,0.02559,0.02191,-0.0597,0.0094,0.6601,18,2.4268,0.01837,0.01387,-0.103,0.0096,0.6602,18,2.3777,0.01717,0.01271,-0.0913,0.0097,0.68,,,,,
19,2.5403,0.02568,0.02206,-0.0444,0.0095,0.6806,19,2.5867,0.0278,0.02422,-0.0534,0.0094,0.6646,18.5,2.4549,0.01934,0.01487,-0.0985,0.0096,0.6652,18.5,2.4056,0.01808,0.01364,-0.0867,0.0097,0.6808,,,,,
19.5,2.5628,0.02806,0.02453,-0.0386,0.0095,0.6837,19.5,2.6064,0.03037,0.02688,-0.0472,0.0094,0.669,19,2.4819,0.02041,0.01598,-0.0939,0.0096,0.6698,19,2.4328,0.01908,0.01467,-0.0823,0.0097,0.6839,,,,,
20,2.5826,0.03081,0.02737,-0.0332,0.0095,0.6864,20,2.6235,0.03335,0.02997,-0.0413,0.0094,0.6762,19.5,2.5076,0.02159,0.0172,-0.0894,0.0096,0.6782,19.5,2.4592,0.02021,0.01583,-0.0779,0.0097,0.687,,,,,
20.5,2.5984,0.03403,0.0307,-0.0282,0.0094,0.6887,20.5,2.6359,0.03688,0.03361,-0.0358,0.0093,0.6798,20,2.5308,0.02294,0.01858,-0.0847,0.0096,0.6803,20.5,2.5072,0.02289,0.0186,-0.0694,0.0097,0.6974,,,,,
21.5,2.6178,0.04224,0.03913,-0.0197,0.0094,0.6993,21.5,2.6473,0.04595,0.04292,-0.0268,0.0093,0.6872,21,2.5728,0.02606,0.0218,-0.0756,0.0096,0.6896,21.5,2.5483,0.02627,0.02207,-0.0612,0.0097,0.7067,,,,,
22,2.6197,0.04745,0.04446,-0.0165,0.0094,0.7016,22,2.6435,0.05188,0.04898,-0.0237,0.0093,0.6897,21.5,2.5913,0.02788,0.02367,-0.0712,0.0096,0.6937,22,2.5661,0.02827,0.02412,-0.0573,0.0097,0.7096,,,,,
22.5,2.6149,0.05362,0.05075,-0.0143,0.0093,0.7064,22.5,2.632,0.05893,0.05616,-0.0218,0.0093,0.6921,22,2.6078,0.02994,0.02578,-0.0669,0.0096,0.6985,22.5,2.5815,0.03053,0.02643,-0.0536,0.0097,0.7116,,,,,
23,2.6003,0.0611,0.05836,-0.0133,0.0093,0.709,23,2.6119,0.06734,0.06471,-0.0215,0.0092,0.6964,22.5,2.6224,0.03227,0.02816,-0.0628,0.0096,0.701,23,2.5953,0.03307,0.02903,-0.0501,0.0096,0.7165,,,,,
23.5,2.576,0.07006,0.06746,-0.014,0.0093,0.71,23.5,2.5796,0.07749,0.07502,-0.0232,0.0092,0.6989,23,2.6351,0.03486,0.03082,-0.059,0.0096,0.7072,23.5,2.6073,0.0359,0.03192,-0.0469,0.0096,0.7207,,,,,
24,2.5381,0.08091,0.07845,-0.0168,0.0093,0.7118,24,2.5335,0.08961,0.08728,-0.0273,0.0092,0.7,24,2.6546,0.04104,0.03713,-0.0523,0.0095,0.7171,24,2.6167,0.03911,0.0352,-0.0441,0.0096,0.729,,,,,
24.5,2.4832,0.09415,0.09186,-0.0224,0.0093,0.7142,24.5,2.4721,0.10398,0.10182,-0.0345,0.0092,0.7013,24.5,2.6596,0.04482,0.04098,-0.0495,0.0095,0.7201,24.5,2.6233,0.04276,0.03891,-0.0416,0.0096,0.7301,,,,,
25,2.4126,0.10971,0.10758,-0.0312,0.0093,0.7159,25,2.397,0.12051,0.11851,-0.0452,0.0092,0.7037,25,2.6626,0.04901,0.04525,-0.0472,0.0095,0.7264,25,2.6269,0.04681,0.04305,-0.0394,0.0096,0.7341,,,,,
